boundary_state,boundary_district,ifi_district_candidates,match_status,reason
,,Kaimur (Bhabua),NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Kakching,IFI_ONLY,IFI district token absent from boundary exact names
,,Kalaburagi,IFI_ONLY,IFI district token absent from boundary exact names
,,Kalimpong,IFI_ONLY,IFI district token absent from boundary exact names
,,Kallakurichi,IFI_ONLY,IFI district token absent from boundary exact names
,,Kamareddy,IFI_ONLY,IFI district token absent from boundary exact names
,,Kamjong,IFI_ONLY,IFI district token absent from boundary exact names
,,Kamle,IFI_ONLY,IFI district token absent from boundary exact names
,,Kamrup Metro,IFI_ONLY,IFI district token absent from boundary exact names
,,Kangpokpi,IFI_ONLY,IFI district token absent from boundary exact names
,,Kanniyakumariumari,IFI_ONLY,IFI district token absent from boundary exact names
,,Kanpur nagar,NORMALIZED_MATCH_REQUIRES_VERIFICATION,IFI name has a normalized boundary candidate; state and historical identity require verification
,,Kanpur nagar Dehat,IFI_ONLY,IFI district token absent from boundary exact names
,,Kanpur nagar Nagar,IFI_ONLY,IFI district token absent from boundary exact names
,,Kanpur nagar-Dehat,IFI_ONLY,IFI district token absent from boundary exact names
,,Kasganj,IFI_ONLY,IFI district token absent from boundary exact names
,,Kashmir,IFI_ONLY,IFI district token absent from boundary exact names
,,Kashmir Valley,IFI_ONLY,IFI district token absent from boundary exact names
,,Kashmir valley,IFI_ONLY,IFI district token absent from boundary exact names
,,Khargone (Khargone (West Nimar)),IFI_ONLY,IFI district token absent from boundary exact names
,,Khowai,IFI_ONLY,IFI district token absent from boundary exact names
,,Khurja,IFI_ONLY,IFI district token absent from boundary exact names
,,Kochi,IFI_ONLY,IFI district token absent from boundary exact names
,,Koderma,IFI_ONLY,IFI district token absent from boundary exact names
,,Kokrajhar Darrang,IFI_ONLY,IFI district token absent from boundary exact names
,,Kollam Kozhikode,IFI_ONLY,IFI district token absent from boundary exact names
,,Korea,IFI_ONLY,IFI district token absent from boundary exact names
,,Kra Daadi,IFI_ONLY,IFI district token absent from boundary exact names
,,Kumuram Bheem Asifabad,IFI_ONLY,IFI district token absent from boundary exact names
,,Lahul And Spiti,IFI_ONLY,IFI district token absent from boundary exact names
